Date,Date,MeanTemp
1943-12-12,1943-12-12,18.33333333
1943-12-13,1943-12-13,17.77777778
1943-12-14,1943-12-14,18.88888889
1943-12-15,1943-12-15,17.77777778
1943-12-16,1943-12-16,17.77777778
1943-12-17,1943-12-17,17.77777778
1943-12-18,1943-12-18,18.33333333
1943-12-19,1943-12-19,17.22222222
1943-12-20,1943-12-20,17.77777778
1943-12-21,1943-12-21,17.77777778
1943-12-22,1943-12-22,17.77777778
1943-12-23,1943-12-23,17.77777778
1943-12-24,1943-12-24,18.88888889
1943-12-25,1943-12-25,18.88888889
1943-12-26,1943-12-26,18.88888889
1943-12-27,1943-12-27,17.77777778
1943-12-28,1943-12-28,19.44444444
1943-12-29,1943-12-29,17.22222222
1943-12-30,1943-12-30,16.66666667
1943-12-31,1943-12-31,17.77777778
1944-01-01,1944-01-01,16.66666667
1944-01-02,1944-01-02,16.11111111
1944-01-03,1944-01-03,16.11111111
1944-01-04,1944-01-04,15.55555556
1944-01-05,1944-01-05,15.55555556
1944-01-06,1944-01-06,12.22222222
1944-01-07,1944-01-07,16.66666667
1944-01-08,1944-01-08,16.66666667
1944-01-09,1944-01-09,16.66666667
1944-01-10,1944-01-10,16.66666667
1944-01-11,1944-01-11,16.66666667
1944-01-12,1944-01-12,17.77777778
1944-01-13,1944-01-13,16.66666667
1944-01-14,1944-01-14,17.22222222
1944-01-15,1944-01-15,16.66666667
1944-01-16,1944-01-16,15.55555556
1944-01-17,1944-01-17,16.66666667
1944-01-18,1944-01-18,16.11111111
1944-01-19,1944-01-19,16.11111111
1944-01-20,1944-01-20,16.66666667
1944-01-21,1944-01-21,15.55555556
1944-01-22,1944-01-22,15.55555556
1944-01-23,1944-01-23,16.66666667
1944-01-24,1944-01-24,17.77777778
1944-01-25,1944-01-25,15.55555556
1944-01-26,1944-01-26,17.77777778
1944-01-27,1944-01-27,15.55555556
1944-01-28,1944-01-28,18.88888889
1944-01-29,1944-01-29,17.22222222
1944-01-30,1944-01-30,16.11111111
1944-01-31,1944-01-31,16.66666667
1944-02-01,1944-02-01,16.66666667
1944-02-02,1944-02-02,16.11111111
1944-02-03,1944-02-03,16.66666667
1944-02-04,1944-02-04,15.55555556
1944-02-05,1944-02-05,14.44444444
1944-02-06,1944-02-06,16.66666667
1944-02-07,1944-02-07,16.66666667
1944-02-08,1944-02-08,16.66666667
1944-02-09,1944-02-09,17.22222222
1944-02-10,1944-02-10,17.77777778
1944-02-11,1944-02-11,17.77777778
1944-02-12,1944-02-12,17.77777778
1944-02-13,1944-02-13,16.66666667
1944-02-14,1944-02-14,18.33333333
1944-02-15,1944-02-15,19.44444444
1944-02-16,1944-02-16,18.88888889
1944-02-17,1944-02-17,18.33333333
1944-02-18,1944-02-18,20.0
1944-02-19,1944-02-19,18.88888889
1944-02-20,1944-02-20,18.88888889
1944-02-21,1944-02-21,17.77777778
1944-02-22,1944-02-22,20.0
1944-02-23,1944-02-23,20.0
1944-02-24,1944-02-24,18.88888889
1944-02-25,1944-02-25,20.0
1944-02-26,1944-02-26,22.22222222
1944-02-27,1944-02-27,20.0
1944-02-28,1944-02-28,21.11111111
1944-02-29,1944-02-29,22.22222222
1944-03-01,1944-03-01,22.77777778
1944-03-02,1944-03-02,23.33333333
1944-03-03,1944-03-03,23.33333333
1944-03-04,1944-03-04,22.22222222
1944-03-05,1944-03-05,22.22222222
1944-03-06,1944-03-06,22.77777778
1944-03-07,1944-03-07,23.33333333
1944-03-08,1944-03-08,23.33333333
1944-03-09,1944-03-09,23.88888889
1944-03-10,1944-03-10,23.33333333
1944-03-11,1944-03-11,23.33333333
1944-03-12,1944-03-12,23.33333333
1944-03-13,1944-03-13,23.33333333
1944-03-14,1944-03-14,24.44444444
1944-03-15,1944-03-15,24.44444444
1944-03-16,1944-03-16,23.33333333
1944-03-17,1944-03-17,24.44444444
1944-03-18,1944-03-18,22.22222222
1944-03-19,1944-03-19,23.33333333
1944-03-20,1944-03-20,24.44444444
1944-03-21,1944-03-21,24.44444444
1944-03-22,1944-03-22,26.11111111
1944-03-23,1944-03-23,24.44444444
1944-03-24,1944-03-24,22.22222222
1944-03-25,1944-03-25,21.11111111
1944-03-26,1944-03-26,22.77777778
1944-03-27,1944-03-27,23.33333333
1944-03-28,1944-03-28,22.22222222
1944-03-29,1944-03-29,25.0
1944-03-30,1944-03-30,21.11111111
1944-03-31,1944-03-31,21.11111111
1944-04-01,1944-04-01,22.22222222
1944-04-02,1944-04-02,20.55555556
1944-04-03,1944-04-03,22.22222222
1944-04-04,1944-04-04,22.77777778
1944-04-05,1944-04-05,23.33333333
1944-04-06,1944-04-06,25.55555556
1944-04-07,1944-04-07,23.33333333
1944-04-08,1944-04-08,23.33333333
1944-04-09,1944-04-09,23.33333333
1944-04-10,1944-04-10,22.77777778
1944-04-11,1944-04-11,22.77777778
1944-04-12,1944-04-12,24.44444444
1944-04-13,1944-04-13,22.22222222
1944-04-14,1944-04-14,23.33333333
1944-04-15,1944-04-15,23.33333333
1944-04-16,1944-04-16,21.11111111
1944-04-17,1944-04-17,23.33333333
1944-04-18,1944-04-18,26.66666667
1944-04-19,1944-04-19,24.44444444
1944-04-20,1944-04-20,24.44444444
1944-04-21,1944-04-21,25.55555556
1944-04-22,1944-04-22,26.66666667
1944-04-23,1944-04-23,25.55555556
1944-04-24,1944-04-24,28.33333333
1944-04-25,1944-04-25,28.88888889
1944-04-26,1944-04-26,27.77777778
1944-04-27,1944-04-27,28.33333333
1944-04-28,1944-04-28,26.66666667
1944-04-29,1944-04-29,24.44444444
1944-04-30,1944-04-30,23.33333333
1944-05-01,1944-05-01,25.0
1944-05-02,1944-05-02,24.44444444
1944-05-03,1944-05-03,25.0
1944-05-04,1944-05-04,25.55555556
1944-05-05,1944-05-05,26.66666667
1944-05-06,1944-05-06,24.44444444
1944-05-07,1944-05-07,23.88888889
1944-05-08,1944-05-08,23.88888889
1944-05-09,1944-05-09,27.22222222
1944-05-10,1944-05-10,29.44444444
1944-05-11,1944-05-11,26.11111111
1944-05-12,1944-05-12,26.11111111
1944-05-13,1944-05-13,23.88888889
1944-05-14,1944-05-14,24.44444444
1944-05-15,1944-05-15,23.88888889
1944-05-16,1944-05-16,26.11111111
1944-05-17,1944-05-17,27.77777778
1944-05-18,1944-05-18,28.88888889
1944-05-19,1944-05-19,26.66666667
1944-05-20,1944-05-20,26.11111111
1944-05-21,1944-05-21,27.77777778
1944-05-22,1944-05-22,28.88888889
1944-05-23,1944-05-23,27.22222222
1944-05-24,1944-05-24,26.11111111
1944-05-25,1944-05-25,24.44444444
1944-05-26,1944-05-26,23.88888889
1944-05-27,1944-05-27,25.0
1944-05-28,1944-05-28,27.22222222
1944-05-29,1944-05-29,28.33333333
1944-05-30,1944-05-30,27.77777778
1944-05-31,1944-05-31,28.88888889
1944-06-01,1944-06-01,28.88888889
1944-06-02,1944-06-02,28.33333333
1944-06-03,1944-06-03,28.88888889
1944-06-04,1944-06-04,27.22222222
1944-06-05,1944-06-05,27.77777778
1944-06-06,1944-06-06,28.88888889
1944-06-07,1944-06-07,28.33333333
1944-06-08,1944-06-08,27.77777778
1944-06-09,1944-06-09,27.77777778
1944-06-10,1944-06-10,28.33333333
1944-06-11,1944-06-11,28.88888889
1944-06-12,1944-06-12,28.33333333
1944-06-13,1944-06-13,27.77777778
1944-06-14,1944-06-14,30.0
1944-06-15,1944-06-15,28.33333333
1944-06-16,1944-06-16,27.77777778
1944-06-17,1944-06-17,26.11111111
1944-06-18,1944-06-18,25.0
1944-06-19,1944-06-19,26.66666667
1944-06-20,1944-06-20,28.88888889
1944-06-21,1944-06-21,28.88888889
1944-06-22,1944-06-22,28.33333333
1944-06-23,1944-06-23,28.88888889
1944-06-24,1944-06-24,28.88888889
1944-06-25,1944-06-25,28.88888889
1944-06-26,1944-06-26,28.88888889
1944-06-27,1944-06-27,27.77777778
1944-06-28,1944-06-28,26.66666667
1944-06-29,1944-06-29,27.77777778
1944-06-30,1944-06-30,27.77777778
1944-07-01,1944-07-01,27.77777778
1944-07-02,1944-07-02,27.77777778
1944-07-03,1944-07-03,27.77777778
1944-07-04,1944-07-04,28.88888889
1944-07-05,1944-07-05,27.22222222
1944-07-06,1944-07-06,28.88888889
1944-07-07,1944-07-07,28.88888889
1944-07-08,1944-07-08,28.88888889
1944-07-09,1944-07-09,28.33333333
1944-07-10,1944-07-10,28.88888889
1944-07-11,1944-07-11,30.55555556
1944-07-12,1944-07-12,30.55555556
1944-07-13,1944-07-13,30.0
1944-07-14,1944-07-14,28.33333333
1944-07-15,1944-07-15,31.11111111
1944-07-16,1944-07-16,29.44444444
1944-07-17,1944-07-17,28.88888889
1944-07-18,1944-07-18,28.88888889
1944-07-19,1944-07-19,27.77777778
1944-07-20,1944-07-20,27.77777778
1944-07-21,1944-07-21,28.33333333
1944-07-22,1944-07-22,27.77777778
1944-07-23,1944-07-23,30.0
1944-07-24,1944-07-24,31.11111111
1944-07-25,1944-07-25,31.11111111
1944-07-26,1944-07-26,30.0
1944-07-27,1944-07-27,28.88888889
1944-07-28,1944-07-28,28.33333333
1944-07-29,1944-07-29,30.55555556
1944-07-30,1944-07-30,30.55555556
1944-07-31,1944-07-31,29.44444444
1944-08-01,1944-08-01,28.88888889
1944-08-02,1944-08-02,28.88888889
1944-08-03,1944-08-03,28.88888889
1944-08-04,1944-08-04,30.55555556
1944-08-05,1944-08-05,30.0
1944-08-06,1944-08-06,30.0
1944-08-07,1944-08-07,30.55555556
1944-08-08,1944-08-08,30.0
1944-08-09,1944-08-09,27.77777778
1944-08-10,1944-08-10,27.77777778
1944-08-11,1944-08-11,27.77777778
1944-08-12,1944-08-12,27.22222222
1944-08-13,1944-08-13,28.88888889
1944-08-14,1944-08-14,29.44444444
1944-08-15,1944-08-15,30.0
1944-08-16,1944-08-16,29.44444444
1944-08-17,1944-08-17,30.55555556
1944-08-18,1944-08-18,31.11111111
1944-08-19,1944-08-19,30.55555556
1944-08-20,1944-08-20,30.55555556
1944-08-21,1944-08-21,26.66666667
1944-08-22,1944-08-22,27.22222222
1944-08-23,1944-08-23,30.0
1944-08-24,1944-08-24,31.11111111
1944-08-25,1944-08-25,28.88888889
1944-08-26,1944-08-26,26.66666667
1944-08-27,1944-08-27,28.88888889
1944-08-28,1944-08-28,27.77777778
1944-08-29,1944-08-29,26.11111111
1944-08-30,1944-08-30,27.77777778
1944-08-31,1944-08-31,27.77777778
1944-09-01,1944-09-01,25.55555556
1944-09-02,1944-09-02,27.22222222
1944-09-03,1944-09-03,26.66666667
1944-09-04,1944-09-04,27.22222222
1944-09-05,1944-09-05,27.77777778
1944-09-06,1944-09-06,27.77777778
1944-09-07,1944-09-07,27.77777778
1944-09-08,1944-09-08,26.66666667
1944-09-09,1944-09-09,26.66666667
1944-09-10,1944-09-10,27.77777778
1944-09-11,1944-09-11,27.77777778
1944-09-12,1944-09-12,27.77777778
1944-09-13,1944-09-13,26.66666667
1944-09-14,1944-09-14,27.77777778
1944-09-15,1944-09-15,27.77777778
1944-09-16,1944-09-16,27.77777778
1944-09-17,1944-09-17,26.66666667
1944-09-18,1944-09-18,26.66666667
1944-09-19,1944-09-19,26.66666667
1944-09-20,1944-09-20,27.77777778
1944-09-21,1944-09-21,26.66666667
